Feature.ID	Aqm_1_02_23	Aqm_1_02_28	Aqm_1_03_06	Aqm_1_03_13	Aqm_1_03_20	Aqm_1_03_27	Aqm_1_05_01	Aqm_1_06_05	Aqm_1_07_18	Aqm_1_08_13	Aqm_1_09_11	Aqm_1_10_10	Aqm_10_02_23	Aqm_10_02_28	Aqm_10_03_06	Aqm_10_03_13	Aqm_10_03_20	Aqm_10_03_27	Aqm_10_05_01	Aqm_10_06_05	Aqm_10_07_18	Aqm_10_08_13	Aqm_10_09_11	Aqm_10_10_10
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas	0	0	3	0	0	0	8	2	0	0	15	0	0	0	0	0	0	0	0	0	5	0	0	0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__SH-PL14	0	0	0	4	349	218	190	52	18	26	7	0	0	0	0	0	9	202	449	17	10	7	15	3
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	25	20	25	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	81	302
d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured;g__uncultured	0	0	0	0	0	0	42	68	0	7	100	52	0	0	0	0	0	0	37	0	21	41	218	392
d__Bacteria;p__NB1-j;c__NB1-j;o__NB1-j;f__NB1-j;g__NB1-j	0	0	0	0	0	0	0	10	36	27	56	84	0	0	0	0	0	0	58	89	217	117	255	255
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella	0	0	0	7	29	48	8	211	87	78	194	52	0	0	6	10	295	179	80	6	72	101	363	541
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Runella	0	0	2	17	19	40	5	0	0	0	0	0	0	0	224	422	640	399	8	5	0	0	21	49
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Inhella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;__	774	88	18	25	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__uncultured	0	0	0	0	154	306	0	0	0	0	0	0	0	0	0	10	98	103	7	0	0	0	0	2
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__Nordella	0	0	0	4	11	0	0	13	3	4	6	6	0	0	0	0	0	7	4	10	50	49	305	424
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria	0	20	87	113	47	25	18	24	16	97	61	41	0	0	72	94	312	167	37	0	9	4	0	53
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__uncultured	0	0	0	0	0	0	0	75	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas	0	0	0	0	0	0	0	4	5	0	0	0	0	0	49	102	58	113	37	0	16	0	0	3
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae;g__Luteolibacter	0	0	28	26	37	15	0	0	4	0	0	5	0	0	20	164	538	331	23	0	2	0	0	3
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter	0	0	0	55	13	139	47	11	0	45	178	86	0	0	0	5	51	57	20	0	0	0	2	31
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae;g__Haloferula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	57	41	51	28	9	10	23	85	63
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	58	1140	100	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia	7	129	147	163	106	45	64	51	0	32	32	19	0	23	14	20	29	9	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__NRL2;f__NRL2;g__NRL2	0	0	0	0	0	0	11	53	0	4	0	10	0	0	0	0	0	0	0	0	3	3	0	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__PAUC26f;f__PAUC26f;g__PAUC26f	0	0	0	0	0	0	0	0	14	6	0	25	0	0	0	0	0	0	0	0	0	12	72	184
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02	0	0	0	0	0	0	62	73	0	4	0	10	0	0	0	0	0	0	0	0	18	6	2	4
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	25	71	41	351	496
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	0	4	0	0	5	3	14	56	14	0	9	5	0	19	111	62	151	117	110	0	34	6	5	4
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola	0	0	5	40	40	56	22	0	0	0	0	0	0	279	0	0	15	0	0	0	0	0	5	3
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	486	77	14	0	0	0	0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured	0	0	0	0	0	0	9	10	0	36	69	64	0	0	0	0	0	2	70	0	17	25	119	44
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__DEV114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia;o__Hydrogenedentiales;f__Hydrogenedensaceae;g__Hydrogenedensaceae	0	0	0	0	0	0	38	75	0	23	0	35	0	0	0	0	0	0	60	13	17	4	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__MND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter	0	0	0	0	0	0	322	194	26	7	0	0	0	0	0	0	0	0	0	0	41	72	40	89
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	7	9	87
d__Bacteria;__;__;__;__;__	0	15	2	6	5	0	20	2	17	38	19	9	0	0	2	43	73	199	25	53	22	0	48	25
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;__;__	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	58	36	11	22	16	2	0
d__Bacteria;p__Myxococcota;c__Polyangia;o__mle1-27;f__mle1-27;g__mle1-27	0	0	0	0	153	22	114	29	0	0	0	0	0	0	0	0	0	0	24	19	0	4	0	0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__uncultured;g__uncultured	0	0	0	0	0	0	94	102	29	63	20	18	0	0	0	0	0	5	7	32	35	43	99	126
